#{"t_start": 1626178786.1278298, "env_id": "RoboSkateSegmentation-v0"}
r,l,t
-0.657896,1000,73.819072
-34.309154,108,82.600947
-22.57259,1000,156.482409
4.589628,1000,226.701534
-63.481175,1000,299.032756
-8.505591,391,327.220243
-84.740794,1000,401.165031
-1.445228,1000,472.357234
-22.661154,1000,539.762607
-0.995677,1000,607.112207
-8.23475,1000,675.686952
-27.590778,559,1082.305736
-42.093318,86,1090.636377
13.210713,1000,1184.627777
0.13627,1000,1274.466197
-22.542074,1000,1363.933965
2.688828,66,1370.859071
-2.929658,73,1378.239658
-120.22221,1000,1473.107872
-107.386068,1000,1565.130524
-139.962819,69,1572.331574
28.116621,1000,1665.824143
10.785447,58,1671.618019
5.376505,73,1679.006548
2.258529,62,1685.485471
-22.376754,63,1692.205379
4.784792,58,1698.237959
-138.892552,66,1705.275602
-86.098282,276,1731.689686
-9.250694,180,1748.966025
-56.808821,1000,1844.613632
-59.106693,415,1882.353415
-20.449451,92,1892.387265
20.66067,56,1897.280014
27.467075,86,1906.559686
-78.552914,1000,1998.443429
-18.537378,250,2254.20255
-5.013205,74,2262.072505
-45.579422,114,2272.236362
-53.935926,996,2357.676451
-83.477165,557,2409.140811
-33.796202,55,2413.970467
-26.819245,57,2419.730551
8.734152,65,2426.595562
-16.117117,91,2436.439247
-14.23564,59,2443.026463
-73.434499,1000,2537.655139
-13.24841,75,2545.292955
-106.793205,293,2573.103651
1.240211,1000,2665.113004
-75.234446,1000,2756.600979
21.913559,132,2769.659246
-27.699077,131,2782.506781
-2.245851,90,2792.131775
29.557491,660,2853.511194
-94.609206,265,2878.735941
51.268767,70,2885.596484
46.028771,1000,2978.461862
22.554405,90,2987.279268
-58.594311,85,2996.907785
-85.908895,655,3058.803663
-98.825958,1000,3153.869741
36.391054,69,3160.970001
-79.866257,76,3168.690718
-4.56942,71,3175.875802
-86.682621,180,3295.309526
-96.366273,1000,3386.514198
42.066223,68,3393.640531
25.850916,67,3400.526667
6.600409,64,3407.168929
-32.915534,65,3415.30637
-11.48341,80,3423.218424
81.722702,72,3430.439544
-15.142439,74,3437.575337
-29.149104,542,3487.773921
42.312016,69,3494.935555
-20.942605,85,3503.159996
71.496349,62,3509.600573
-62.336335,71,3516.813811
-88.258004,172,3533.037687
-19.124697,66,3540.022841
-13.557669,67,3546.96636
-53.311157,67,3553.791131
-3.286526,71,3560.855843
36.320315,65,3567.676089
21.455733,783,3642.30538
23.42489,65,3649.101561
-17.561932,670,3712.594975
27.43709,244,3735.247936
-12.303397,74,3744.141016
-4.684167,709,3810.193969
-115.971994,242,3832.327893
51.861219,1000,3927.10112
49.061639,366,3962.034407
-62.63434,1000,4057.258632
85.114516,1000,4150.866003
-0.855083,1000,4594.915975
-102.590333,452,4633.904164
-2.496405,1000,4719.393931
0.120469,1000,4810.682278
-77.751701,532,4860.413191
-25.74978,58,4866.453369
-47.787279,63,4873.112524
-112.922833,742,4943.416899
-36.472836,58,4949.510469
-114.024908,1000,5037.464034
44.179005,1000,5130.248424
-66.130102,609,5185.63241
-70.885996,62,5192.050704
-16.488735,64,5198.816528
43.545506,69,5206.903562
37.580299,65,5213.70985
24.343946,68,5220.057497
-81.896566,1000,5310.771804
35.221839,1000,5402.063203
-53.378488,60,5408.661397
-40.341779,73,5416.010555
-11.627974,61,5422.586327
-48.955301,246,5446.501926
-116.314238,66,5453.30602
-21.166105,67,5459.990378
1.221063,67,5466.702738
0.113057,65,5473.295664
49.913464,446,5547.264179
62.90818,108,5558.710181
40.718293,1000,5650.445649
-57.332053,767,5723.611771
-94.96342,1000,5816.277092
42.271824,1000,5903.76314
-3.567683,61,5910.194469
-43.58573,82,5919.441175
-34.662345,179,5935.812475
-57.938847,97,5946.085843
13.05805,1000,6038.531545
-8.731678,389,6074.798299
-31.863469,118,6085.562461
-31.235076,158,6100.512291
-38.680361,142,6113.76637
-55.169602,95,6123.807598
-4.364596,1000,6216.054328
-0.32762,1000,6308.551437
-11.609127,80,6315.686902
-67.950501,71,6322.317727
-0.156443,1000,6414.969502
-59.855212,402,6453.507716
-9.337491,942,6778.40307
8.451329,1000,6871.672759
-36.081973,90,6880.202927
-20.272936,67,6886.738503
-14.229763,68,6894.045021
40.459505,138,6907.43364
11.520263,498,6954.77094
29.946801,1000,7049.559864
10.113776,82,7057.406815
-8.728693,160,7072.755105
-78.193897,1000,7166.24583
-122.956899,100,7177.365987
13.49843,68,7184.465613
-15.112012,66,7190.919237
44.634213,117,7201.635953
-4.652119,104,7212.231213
-15.305481,86,7220.495253
5.646275,110,7231.857201
-23.649021,523,7280.954283
-115.260039,1000,7369.100711
-41.360506,732,7435.726102
14.252127,85,7445.174592
-15.290239,70,7452.405133
-22.321792,1000,7544.107715
3.729353,1000,7638.721381
6.891841,583,8059.931657
12.013624,1000,8152.782765
9.664888,178,8170.588579
-42.648466,111,8180.597126
46.640082,71,8187.384708
-51.303535,1000,8281.550748
67.155271,65,8288.267499
-1.590355,105,8299.17195
-6.652293,69,8306.381445
-12.249576,58,8312.462163
-22.266021,111,8322.747032
-23.631429,106,8333.973035
-11.06759,1000,8429.021335
42.936634,70,8436.255476
-47.04029,1000,8525.268997
-28.171583,1000,8616.075048
30.384808,65,8622.21856
-41.662473,434,8661.974915
-40.008307,1000,8754.786879
119.48828,138,8768.450997
-58.427917,802,8842.746518
-70.537677,108,8853.974006
-37.901439,1000,8947.024236
85.255063,73,8984.913943
0.99442,1000,9074.6288
-41.869008,1000,9169.583658
25.772214,70,9176.877317
-81.994085,373,9212.317157
12.921837,73,9219.50624
-3.69672,1000,9311.715192
-16.93808,65,9318.760901
-120.324592,71,9326.32639
-26.56011,1000,9416.871819
-28.228093,1000,9505.338208
-6.829406,74,9512.50429
-136.0274,1000,9607.615957
-75.009536,237,9628.801276
31.891002,80,9637.911246
-39.301795,1000,9722.90825
-2.096891,1000,9813.88557
-55.979321,232,9835.501223
-83.422636,107,9844.969912
-2.782331,1000,10169.424349
-23.616192,1000,10260.625848
15.079098,65,10267.640882
33.160416,66,10275.587682
-9.330371,1000,10368.248667
33.703012,62,10374.931346
-133.159226,64,10381.316669
17.961207,183,10399.502192
20.353212,63,10405.799586
87.511642,115,10417.428228
-1.452651,1000,10509.299861
-28.779659,52,10515.244191
-130.099012,1000,10607.464
3.133391,1000,10701.206499
-34.487096,75,10709.776821
-26.897802,62,10716.03804
51.008473,72,10723.609732
23.642811,69,10730.905704
-9.529488,277,10756.340457
17.384832,68,10763.305225
33.292829,74,10770.638435
-3.822753,77,10778.771867
40.83711,68,10785.748085
3.686719,64,10792.333819
87.225823,62,10798.984177
-6.872585,68,10805.965695
28.60551,103,10815.6038
30.829231,66,10822.600585
19.325278,64,10829.289794
4.132944,41,10834.303263
-79.438994,712,10900.644836
-25.85072,126,10912.805412
-83.740043,1000,11002.592954
-82.253564,1000,11389.037802
36.342303,66,11395.862695
15.868799,1000,11490.314029
-2.77761,56,11496.48877
-80.675684,332,11528.053941
-37.473077,154,11542.702333
31.105281,62,11549.187228
34.062978,70,11556.283894
-42.529046,1000,11646.835584
-29.719352,1000,11739.160214
-111.782519,1000,11830.033494
-152.431107,160,11846.254424
-35.853128,59,11852.581146
-165.984653,56,11858.604157
-112.932358,1000,11948.273513
2.765784,1000,12041.747794
-31.34212,272,12067.487784
-0.572607,1000,12158.165747
-41.615398,1000,12250.643474
-25.494546,264,12275.355736
-20.66082,1000,12733.679808
-34.862665,1000,12827.77879
-55.153812,1000,12913.328559
-37.702074,140,12926.893094
40.230944,358,12957.453375
-123.415193,1000,13048.864491
-19.953468,1000,13140.319765
-11.251938,1000,13232.660192
-26.374138,1000,13323.094628
-7.421458,1000,13414.656608
-0.225192,1000,13505.118386
-160.846485,782,13768.851824
-5.998219,1000,13864.229023
-58.094309,769,13934.90973
-69.507514,1000,14021.326574
13.012267,1000,14115.319052
7.755459,1000,14208.211828
48.983934,1000,14300.53159
-23.808676,66,14307.39028
-89.885515,70,14314.368799
-37.243605,66,14320.991868
-8.644424,88,14330.066537
1.768589,69,14337.253725
-46.469175,1000,14428.532627
-10.849198,63,14434.786939
39.353251,66,14441.314383
-85.686404,1000,14528.472014
-9.367217,306,14557.235733
-5.823559,1000,14649.822691
-97.57854,128,14662.578881
-29.56822,1000,15124.468782
19.117857,573,15177.202754
-69.936232,406,15215.587879
22.350726,65,15222.34328
-94.043107,1000,15314.936433
-14.364814,61,15321.266579
-18.556312,874,15403.248647
-3.72849,1000,15490.263843
0.445796,1000,15582.997398
0.443285,1000,15676.352755
0.781251,1000,15767.490928
0.821277,1000,15860.230991
0.426364,1000,15952.074001
0.940342,1000,16405.921558
0.432324,1000,16500.450944
0.460287,1000,16593.71356
0.241138,1000,16681.844095
0.507749,1000,16774.807813
0.467884,1000,16862.906853
0.68535,1000,16948.699466
0.546319,1000,17040.554181
0.366905,1000,17132.04501
0.984063,1000,17224.203418
1.07284,1000,17648.401576
0.645596,1000,17734.167481
0.977075,1000,17819.892138
0.924299,1000,17904.816017
-0.527856,1000,17996.511629
0.482105,1000,18089.282451
-69.720249,1000,18183.51406
-8.915578,65,18189.796891
-2.215841,1000,18278.788312
-27.075403,259,18303.535948
-64.716838,66,18310.351706
3.074039,1000,18405.877183
43.53481,98,18415.962433
13.01268,970,18668.119478
-29.714904,1000,18760.965863
0.809075,1000,18851.501059
-6.603037,1000,18945.350203
78.92655,69,18952.691492
0.327341,1000,19047.267182
-36.081072,1000,19141.45603
-56.531084,100,19152.099108
-14.41898,1000,19241.395368
-88.53669,76,19250.103724
30.944158,63,19256.966809
-22.091339,67,19263.964556
-61.847528,79,19272.01537
-74.980008,1000,19365.227778
0.090918,1000,19456.21263
0.126659,1000,19550.002251
0.826205,1000,20011.448065
-1.061792,1000,20104.334483
0.189796,1000,20197.325472
-1.263859,1000,20286.123074
0.060918,1000,20376.308279
-4.785357,1000,20471.873967
0.45992,1000,20563.0417
-23.838208,74,20570.566599
36.588609,76,20579.674831
