#{"t_start": 1625600439.3310032, "env_id": "RoboSkateNumerical10Obs-v0"}
r,l,t
-18.824913,1000,35.744209
-82.482639,1000,70.323889
-34.711588,1000,105.476749
-6.079871,1000,140.645689
-162.39201,1000,175.796499
-48.674964,1000,211.143541
-85.24902,1000,246.157664
-3.9091,1000,281.581103
-54.056395,280,291.723384
-9.697669,1000,326.529662
179.875532,1000,514.054644
176.952271,1000,572.143325
148.157468,633,608.324172
271.513905,1000,664.328719
523.355724,1000,721.858545
107.591513,669,757.919828
521.21246,1000,812.863354
38.52131,120,820.135907
-25.758428,9,820.692357
-25.783656,9,821.226137
-25.760589,9,821.786139
-25.778128,9,822.297311
-24.819047,9,824.528431
302.748772,1000,880.257811
301.094759,1000,937.131609
183.6245,1000,993.010724
316.455459,1000,1049.721813
264.861282,1000,1242.522816
225.676553,1000,1299.033883
374.884103,1000,1357.700646
625.63932,1000,1417.065536
191.06666,1000,1472.244303
760.286733,1000,1527.181154
169.203263,287,1542.651776
154.802928,570,1574.894637
817.818677,1000,1633.258295
567.304169,1000,1689.454156
51.935354,250,1704.554293
325.90393,609,1738.448501
78.984293,175,1749.290788
1.650325,60,1753.037952
559.099607,1000,1946.201239
642.227004,1000,2001.42465
751.53397,1000,2057.511739
495.644267,1000,2115.825585
142.728049,376,2136.470426
821.50916,1000,2193.756335
130.416148,325,2212.23763
764.481822,949,2264.834509
293.510584,538,2296.264306
401.280987,1000,2351.681931
711.465588,1000,2409.191497
28.666052,79,2413.371339
76.749909,143,2422.167938
257.899599,1000,2610.11743
560.018048,1000,2665.926778
175.090015,249,2679.940495
128.228855,197,2690.986917
294.795671,1000,2745.18292
306.619725,638,2782.893404
311.301294,1000,2840.721255
307.442516,1000,2897.633737
523.838051,1000,2951.417068
631.93017,1000,3008.345978
206.25058,378,3029.600541
633.495102,1000,3086.21354
709.582292,943,3142.566379
167.525961,968,3337.207487
706.644894,1000,3393.792856
559.082167,1000,3452.364255
89.04247,170,3460.938396
328.13674,610,3496.368726
666.434524,987,3551.773668
173.088681,386,3574.012969
339.458109,667,3612.230497
559.028379,697,3650.923301
206.742596,355,3673.088785
523.692077,1000,3731.521718
176.046584,223,3743.644664
25.316314,82,3748.093356
229.084225,350,3768.816517
161.849398,230,3781.503365
18.451673,65,3785.709867
811.807432,1000,3844.438926
237.913532,1000,4060.639314
468.238465,607,4095.271081
303.958253,1000,4150.224642
308.757798,1000,4204.162672
159.619688,192,4215.932796
66.229909,138,4224.539346
284.10896,794,4269.721108
171.615888,235,4284.107765
593.851103,906,4334.555918
300.856232,1000,4388.150896
652.872237,992,4445.258094
257.598207,456,4471.228718
577.140154,933,4524.430834
133.76565,263,4539.8607
776.558487,1000,4595.427123
610.422669,1000,4789.604489
585.819039,1000,4847.53754
320.670212,1000,4902.694701
716.915836,798,4948.799378
645.950207,775,4991.948334
628.344842,957,5048.275328
703.444361,760,5091.694267
747.896128,1000,5148.214213
599.753986,1000,5206.544538
312.162603,1000,5263.66645
279.453828,1000,5473.227582
305.802133,1000,5530.359492
868.759958,1000,5586.953789
179.900465,1000,5641.761091
173.780781,1000,5699.860408
728.777027,1000,5754.872223
687.938208,1000,5813.720341
913.149357,895,5865.018663
747.356609,1000,5922.835577
299.107153,1000,5979.312613
-4.759335,1000,6184.569278
744.847457,982,6238.941301
236.003203,437,6264.500674
948.105711,1000,6324.687021
948.58824,1000,6381.014338
302.535294,1000,6438.185205
921.287777,1000,6494.036425
313.852776,1000,6549.15467
973.022322,1000,6603.840203
953.245998,1000,6661.383322
823.41215,1000,6719.249848
339.745264,971,6906.880611
965.589852,932,6959.856183
865.425488,1000,7015.21264
841.576777,1000,7072.906768
794.196787,877,7124.545789
967.34953,877,7173.360934
658.232407,906,7227.280543
1020.690582,1000,7282.869972
759.402091,1000,7339.044811
757.345709,912,7392.524771
546.000546,724,7433.767938
647.923209,1000,7658.395725
912.403011,1000,7717.080618
877.834682,1000,7772.580117
911.953937,1000,7831.232166
641.093716,871,7880.194954
867.145348,1000,7938.014907
860.144175,1000,7995.787288
911.453844,851,8043.757327
309.353893,1000,8098.758028
1063.125135,985,8154.052893
157.982964,988,8372.586217
889.077618,992,8431.576868
594.627604,1000,8489.659844
968.977217,1000,8546.048552
309.31739,1000,8603.042506
778.038246,840,8650.705714
307.085122,1000,8708.321954
311.157407,1000,8763.728652
863.247205,968,8818.064904
170.920748,336,8837.508909
958.344069,1000,8892.932269
440.677412,1000,9104.276809
918.180279,1000,9160.970165
905.637184,1000,9218.900325
907.013384,1000,9275.894931
889.382598,982,9331.76564
830.806699,850,9379.517196
1034.809391,967,9434.876886
1016.140721,966,9490.825833
829.350441,882,9540.356996
907.451711,964,9596.039563
902.846548,923,9651.348311
620.03359,731,9850.544521
898.691833,954,9905.526596
966.995587,1000,9964.777938
556.476567,905,10016.507704
1178.270982,1000,10075.789364
872.57894,920,10128.817439
883.1777,915,10182.161378
933.917463,926,10236.042785
1164.255534,1000,10294.28723
839.723566,879,10347.48215
277.792802,916,10560.350095
1107.679975,1000,10620.3041
510.212842,1000,10677.110204
658.134728,780,10723.191437
1077.896957,1000,10781.333213
1158.108494,1000,10839.300839
686.653516,692,10880.071719
