#{"t_start": 1625820095.0434203, "env_id": "RoboSkateNumerical10Obs-v0"}
r,l,t
17.587615,1000,23.520841
-111.013933,1000,46.470779
-42.277679,1000,69.936864
16.955153,1000,92.177377
-61.680564,1000,114.338748
-69.717928,1000,137.569237
-79.474095,1000,160.031112
-137.363922,1000,182.927509
-158.631844,1000,205.456129
9.306612,1000,228.603836
-109.595396,1000,416.993501
-60.871024,1000,466.751052
-94.264818,1000,516.190422
-46.548049,1000,563.006571
-174.748783,1000,611.789133
-136.498964,1000,660.308584
-36.23054,1000,708.759765
-27.068944,1000,758.715331
-23.641369,1000,805.920134
-10.538211,1000,854.994363
-91.395191,1000,1043.517223
20.695044,1000,1091.302012
16.622599,1000,1140.032779
2.303036,1000,1187.975488
25.361108,1000,1237.380451
-35.265444,1000,1286.161094
53.939258,1000,1333.841024
-22.33311,1000,1383.053615
46.297786,1000,1432.036728
63.658431,1000,1479.952064
-31.523671,1000,1670.843491
-45.050012,1000,1719.281429
64.759079,1000,1768.60338
-21.001732,1000,1817.683384
52.200109,1000,1866.077112
-25.092027,1000,1916.11796
1.028041,1000,1966.004264
21.036277,1000,2013.614155
-108.81245,1000,2062.368482
-22.290177,1000,2109.68322
-19.196341,1000,2275.622369
16.08229,1000,2325.022202
-25.437259,1000,2372.721395
-10.966887,1000,2422.135303
-7.976632,1000,2471.577324
-54.548899,1000,2520.087447
-25.695345,1000,2569.217429
-25.109705,1000,2617.129301
-27.793853,1000,2667.027785
-133.705108,1000,2716.316568
-0.916318,1000,2905.815871
-39.873591,1000,2954.151519
-24.861851,1000,3004.163508
41.425042,1000,3051.23475
30.843595,1000,3100.79334
-7.467512,1000,3148.30464
-39.092256,1000,3197.491999
19.28346,1000,3247.65459
4.915422,1000,3296.495818
-49.146271,1000,3345.784613
-9.768472,1000,3524.422626
16.282805,1000,3573.177333
-14.7563,1000,3623.183499
5.772717,1000,3671.045857
-20.20157,1000,3720.517685
-0.202793,1000,3769.375423
-14.427582,1000,3817.164693
8.646361,1000,3867.015128
1.108562,1000,3916.457864
-21.634135,1000,3964.173269
-14.517665,1000,4155.457583
-15.30612,1000,4204.157181
34.749369,1000,4252.768882
-7.914698,1000,4302.390824
-0.09205,1000,4350.0099
-2.434766,1000,4398.762047
-19.467232,1000,4448.674993
-1.542463,1000,4497.314954
14.694876,1000,4546.562679
6.04394,1000,4593.539102
-13.40191,1000,4782.372571
19.800066,1000,4832.886371
0.344546,1000,4881.659553
-10.988058,1000,4931.639935
-27.330966,1000,4982.6081
9.137026,1000,5031.710965
1.465631,1000,5081.625872
51.008775,1000,5130.739601
1.190882,1000,5181.065157
-6.377512,1000,5231.394262
-2.289793,1000,5419.924586
10.019265,1000,5469.746021
3.861423,1000,5519.392541
26.716378,1000,5568.06459
19.129603,1000,5617.600182
-1.884332,1000,5666.571054
6.209731,1000,5717.404315
11.239434,1000,5767.540939
21.04729,1000,5815.972039
21.53356,1000,5866.458528
24.172309,1000,6058.392756
30.282396,1000,6107.492393
5.189217,1000,6157.655218
13.179549,1000,6205.79791
17.123144,1000,6257.234927
15.33595,1000,6307.989172
19.374861,1000,6357.64784
33.232103,1000,6407.650779
6.3515,1000,6459.263874
38.113099,1000,6507.184593
111.307286,1000,6688.628505
80.972724,1000,6737.310279
11.418608,1000,6786.900765
-13.335817,1000,6837.580677
15.026603,1000,6886.825959
-20.483639,1000,6936.623721
1.99072,1000,6985.887097
-1.207622,1000,7034.540153
24.586101,1000,7083.60974
-14.774033,1000,7132.115047
-20.32784,1000,7323.261196
-0.111038,1000,7372.846964
2.420306,1000,7421.384704
28.963442,1000,7470.798301
2.237487,1000,7520.098503
-2.491053,1000,7568.101194
14.849717,1000,7618.596991
10.067778,1000,7667.559139
9.743074,1000,7718.297581
-0.371252,1000,7769.222367
49.353665,1000,7957.462015
1.307194,1000,8007.043399
-23.965427,1000,8057.624689
33.61808,1000,8105.993154
31.058254,1000,8156.344108
-1.99625,1000,8204.896349
0.809856,1000,8254.168495
-0.446743,1000,8303.722378
-7.225031,1000,8352.50342
54.312611,1000,8402.748216
34.98721,1000,8592.798234
-4.210146,1000,8642.156346
21.981828,1000,8692.796182
20.68835,1000,8740.915613
-5.587566,1000,8790.983759
-4.53724,1000,8839.99573
10.362693,1000,8888.308263
29.215091,1000,8938.855269
-1.465637,1000,8989.71221
-2.324611,1000,9038.633287
-14.218713,1000,9230.038905
-4.473671,1000,9279.168009
-4.758294,1000,9328.25487
2.005144,1000,9379.580725
8.320076,1000,9427.503014
9.484287,1000,9476.513361
-4.018855,1000,9526.589939
3.850125,1000,9575.511081
-14.353842,1000,9625.22859
2.713524,1000,9673.756578
-2.718873,1000,9852.657396
2.372991,1000,9902.203921
-8.718743,1000,9951.093688
-3.748841,1000,10001.538192
27.377603,1000,10051.412265
38.070121,1000,10100.134314
0.342867,1000,10149.931185
52.017891,1000,10198.88701
1.812728,1000,10249.89884
11.082654,1000,10301.067641
35.417312,1000,10482.599054
56.443669,1000,10532.502942
55.818652,1000,10582.987334
-98.661305,1000,10631.466592
76.498141,1000,10682.537675
70.383478,1000,10732.037189
1.237625,1000,10782.306889
18.251863,1000,10831.432152
10.050538,1000,10880.381886
-3.758877,1000,10931.381761
3.759864,1000,11122.71553
22.825351,1000,11170.662754
14.037027,1000,11221.575688
63.142293,1000,11271.560402
11.241491,1000,11320.801227
13.264302,1000,11370.424726
16.303377,1000,11420.09157
41.122766,1000,11470.678126
9.432375,1000,11519.852085
23.822971,1000,11567.273624
1.976805,1000,11749.497081
30.391483,1000,11797.963933
21.093993,1000,11848.737206
14.537209,1000,11897.559545
10.688762,1000,11944.68117
87.876046,1000,11994.775075
15.845782,1000,12044.773168
19.25036,1000,12093.938808
-2.274812,1000,12144.932636
71.581556,1000,12193.617123
-1.59021,1000,12381.106354
-6.561666,1000,12430.872724
1.763181,1000,12480.537056
3.55949,1000,12529.991472
-3.416286,1000,12580.047504
-2.205435,1000,12628.116911
64.4496,1000,12676.557568
-0.707725,1000,12724.995971
59.144996,1000,12775.115029
-2.155784,1000,12825.564005
71.636035,1000,13001.395944
115.693199,1000,13051.792055
-3.805383,1000,13102.058255
-1.301608,1000,13151.907956
170.677355,1000,13201.505563
141.619606,1000,13249.563496
5.890159,1000,13299.707039
-1.326031,1000,13349.271273
32.174952,1000,13398.2764
57.844646,1000,13448.603276
98.630561,1000,13632.371214
-3.53532,1000,13680.25776
108.645005,1000,13730.228863
104.776301,1000,13778.868592
14.129978,1000,13829.561975
-1.249518,1000,13880.598481
42.77596,1000,13929.788426
0.652571,1000,13979.674241
-1.643184,1000,14029.63815
11.218881,1000,14078.043016
18.245587,1000,14268.622777
28.70275,1000,14318.087147
30.447911,1000,14368.777745
39.704551,1000,14419.449465
33.258724,1000,14468.042111
185.564856,1000,14517.849401
15.963861,1000,14568.15608
20.662581,1000,14616.790052
82.386139,1000,14666.59653
-18.488384,1000,14714.68901
27.420296,1000,14902.201117
22.50972,1000,14952.851037
-5.012874,1000,15000.484133
9.359328,1000,15049.881837
220.55844,1000,15100.022578
88.772919,1000,15148.27874
155.873531,1000,15198.207606
15.043278,1000,15246.676583
203.227278,1000,15297.004984
30.467197,1000,15346.500428
166.4358,1000,15525.576873
17.511346,1000,15575.915234
91.226976,1000,15624.807941
39.383005,1000,15673.975862
178.546233,1000,15723.762684
31.944871,1000,15772.902476
13.77358,1000,15822.267282
19.8852,1000,15872.222134
22.20919,1000,15921.674099
119.569837,1000,15971.978799
367.186626,1000,16155.241123
209.052486,1000,16203.075419
1.215014,1000,16253.487296
165.13769,1000,16302.103308
83.8835,1000,16352.912905
49.631165,1000,16403.210615
-2.766521,1000,16451.288102
306.089369,1000,16501.128041
3.496507,1000,16551.588291
112.076259,1000,16599.611221
136.861796,1000,16782.173203
81.764518,1000,16831.694736
249.914644,1000,16881.135606
190.556749,1000,16930.91883
30.23807,1000,16980.003882
313.470432,1000,17029.781495
7.373192,1000,17079.868742
22.392627,1000,17128.897432
177.731007,1000,17179.175563
41.40697,1000,17227.189871
470.209193,1000,17417.931265
312.20887,1000,17468.145338
0.208181,1000,17517.121398
235.949507,1000,17567.819663
178.23856,1000,17617.707834
159.977085,1000,17665.76891
70.028389,1000,17715.550481
187.531663,1000,17765.350045
454.857669,1000,17815.655078
299.430152,1000,17865.959613
42.249443,1000,18054.122469
279.381043,1000,18103.984036
114.245226,1000,18153.58262
285.114544,1000,18202.083389
314.453174,1000,18251.642206
117.941193,1000,18301.150366
255.974801,1000,18351.388271
316.282652,1000,18402.069637
116.16575,1000,18451.466061
285.488283,1000,18500.952449
402.435806,1000,18691.057292
611.778416,1000,18739.06195
299.147229,1000,18787.85415
278.534402,1000,18837.214333
313.200809,1000,18887.544171
326.680943,1000,18937.599054
74.64921,1000,18987.291146
2.957748,1000,19036.916023
125.78182,1000,19087.126859
578.183378,1000,19136.033403
309.282071,1000,19327.560914
76.293529,1000,19375.699941
399.854444,1000,19426.632612
141.706685,1000,19476.399632
262.526835,1000,19525.426729
307.323123,1000,19576.34536
302.530368,1000,19627.39803
685.851752,925,19673.181194
313.462671,1000,19724.823596
539.181332,1000,19774.376783
142.225135,1000,19953.107401
639.948901,1000,20004.932905
81.462621,1000,20053.74521
589.919342,1000,20104.407914
428.062253,1000,20153.412839
478.080533,1000,20204.481565
458.759505,1000,20253.943295
407.553164,1000,20301.925343
264.917049,1000,20350.982562
146.9596,1000,20401.090805
677.920198,964,20585.883816
314.413457,1000,20634.750322
556.140973,1000,20684.14192
541.385577,1000,20734.940563
370.943588,1000,20784.346723
629.885572,1000,20833.920871
514.510533,1000,20882.933555
562.715686,1000,20933.493548
666.358956,853,20975.766756
389.55047,1000,21024.897523
576.866941,1000,21206.051128
120.115219,1000,21254.961207
630.417139,1000,21305.553133
628.44645,1000,21353.299466
602.878523,1000,21403.212276
467.014089,1000,21453.104337
653.235963,946,21497.981131
674.50475,797,21538.091431
142.055334,1000,21588.293205
586.294384,1000,21636.963711
268.606796,1000,21813.675475
672.457576,818,21855.056776
652.800521,756,21891.324921
445.165096,1000,21940.343064
615.278833,758,21978.402683
602.080403,687,22013.22023
649.569168,699,22048.319316
603.779616,843,22090.059562
616.95208,749,22126.94759
652.478683,781,22166.384517
642.645412,682,22199.717424
542.22237,1000,22250.343823
275.101748,1000,22410.416066
655.009779,943,22457.275958
637.709288,738,22495.072436
626.013406,934,22540.262761
294.729527,1000,22590.224793
656.459899,658,22622.023518
659.539138,776,22660.685789
662.853428,652,22693.712008
647.54337,678,22726.167397
666.204563,726,22763.164479
666.275891,689,22796.975586
451.182763,1000,22847.528653
651.217567,760,22886.10182
668.040409,961,23047.181715
666.194231,804,23087.183146
619.561674,742,23124.649901
635.150522,733,23160.864224
636.774394,824,23201.990383
635.044232,699,23237.040493
662.028905,710,23272.859312
648.57188,699,23307.6713
654.400128,776,23347.228385
316.913609,1000,23398.190973
669.207831,984,23446.620442
516.756629,1000,23496.796844
658.050985,939,23629.484894
653.807264,699,23663.770894
644.242611,723,23699.349488
672.841159,737,23734.832998
636.384698,593,23765.461515
644.548785,847,23806.851437
546.151945,1000,23858.154332
628.703248,668,23891.686985
698.436755,752,23929.518527
708.594035,791,23969.136568
658.465047,728,24006.080185
648.267149,936,24053.313126
186.785685,1000,24201.714488
677.363984,693,24236.482452
635.570912,663,24269.047218
649.954513,834,24310.95734
681.530175,750,24348.595245
651.782928,575,24377.214339
672.064236,740,24412.84006
668.530201,678,24446.456238
665.168271,622,24476.242434
657.233329,673,24510.989362
670.805722,779,24548.778416
631.531648,649,24580.737666
651.776522,742,24617.297233
666.271825,629,24649.723513
672.746214,697,24684.985004
661.363448,907,24811.402504
660.991343,594,24840.031224
664.482636,861,24883.891755
669.572938,797,24922.981439
664.749344,708,24957.186569
640.237599,857,24997.898916
612.557372,709,25034.422332
650.069587,855,25076.525629
625.212267,681,25110.587832
636.725802,948,25156.25279
481.675901,1000,25205.558914
616.030717,649,25238.080379
238.585796,1000,25382.439585
646.541233,707,25418.054331
676.198925,784,25457.513434
622.474605,897,25502.486562
662.380335,718,25538.303664
656.999365,865,25581.420166
652.973641,734,25617.897138
662.561819,915,25664.797114
656.348067,719,25700.592182
639.401342,878,25743.092895
656.017956,681,25776.915487
646.016619,654,25808.719197
664.840446,662,25842.227428
569.93919,1000,25983.431337
608.491502,785,26023.036974
630.035806,787,26062.075328
604.474209,1000,26113.312683
644.984435,650,26146.033484
651.728093,660,26178.579144
636.164621,929,26225.143996
674.589938,804,26266.098159
642.280805,751,26304.530258
662.678902,572,26332.616023
680.741602,574,26360.999371
655.16373,718,26395.993396
667.460193,646,26428.225457
438.702116,1000,26565.750299
678.031248,801,26604.068941
658.624995,727,26641.218438
632.484145,566,26668.974888
658.484474,669,26703.685121
678.974224,831,26745.574658
662.825088,604,26775.341915
655.541844,649,26808.560919
646.888461,683,26843.226603
663.95676,711,26878.978415
656.194138,706,26914.0904
644.867739,850,26957.240145
641.227014,767,26997.453606
676.68288,692,27032.008041
646.271283,891,27170.046206
629.730311,721,27206.098324
654.013975,683,27240.695313
647.724314,779,27279.207123
650.46833,832,27320.155816
661.094555,754,27357.793373
648.377992,841,27399.714358
613.997881,776,27438.394439
674.912307,726,27476.65351
674.447501,606,27506.335169
611.353849,702,27542.312434
655.503088,719,27577.786729
627.064801,608,27609.1866
665.434444,569,27636.992623
633.647859,778,27748.095026
299.524224,1000,27798.836736
658.547798,939,27845.157781
644.573938,675,27879.847551
585.256967,1000,27929.123967
645.82026,680,27963.180876
653.988734,789,28001.151459
619.804048,675,28035.642414
665.61697,667,28067.271224
654.459131,630,28099.029938
640.588311,611,28130.608976
667.14242,597,28159.280568
650.198455,713,28194.709779
658.076052,871,28323.782031
644.658469,559,28350.3845
649.890059,587,28381.315028
669.097132,610,28411.186034
665.417747,633,28443.553901
661.186399,638,28475.413364
664.133771,672,28509.101517
645.58728,656,28542.258997
644.58387,675,28575.445787
650.020889,622,28606.954722
647.261374,630,28638.459377
647.175328,556,28667.228237
647.440488,683,28699.883095
670.466924,565,28728.684597
626.550358,715,28764.013442
318.6062,1000,28895.921898
642.949492,675,28928.204645
654.168304,662,28962.438178
666.65157,656,28994.644829
631.476589,636,29027.221998
671.80416,650,29060.167314
616.626903,557,29088.653456
676.681068,826,29130.415915
651.960465,636,29162.98269
663.597832,627,29193.308824
632.79401,624,29225.132844
649.989359,732,29262.687404
654.908469,625,29293.890662
648.113184,584,29324.451115
651.793215,680,29357.194812
663.788825,975,29492.707928
658.963106,747,29530.294867
652.516398,637,29561.900086
681.218265,686,29596.544861
640.109938,639,29628.295002
685.878704,683,29661.972244
660.449873,561,29690.846844
656.284599,667,29725.648607
667.664429,747,29761.683599
661.956326,655,29795.77958
654.341739,586,29824.708708
643.900921,575,29853.239417
655.361575,654,29885.526827
653.917036,619,29917.182971
666.530493,632,29948.291045
657.487753,992,30094.223528
661.298443,628,30126.287192
503.210786,1000,30175.734295
620.594614,758,30214.046159
670.406533,595,30243.720138
662.757167,718,30281.146931
644.023426,623,30311.775513
645.595383,639,30343.601384
656.01286,696,30377.825608
651.015863,594,30408.318836
660.929435,679,30441.700624
