#{"t_start": 1626101193.7561715, "env_id": "RoboSkateSegmentation-v0"}
r,l,t
12.465211,235,16.894498
-35.969146,68,22.308064
-29.566445,124,31.321043
-9.9128,1000,99.853057
16.897792,1000,167.148239
-92.94889,1000,236.344825
0.077578,138,245.363511
-5.17085,1000,314.464499
-8.327965,206,328.044321
-2.115269,1000,395.87355
-49.344316,1000,465.367785
17.47623,155,476.031793
29.060755,1000,540.697322
11.640452,935,603.981894
-40.440352,1000,668.044867
-38.222167,307,841.73823
17.358413,277,867.506891
56.41546,353,897.977511
-16.030958,214,918.078985
39.776994,102,926.368466
-42.544518,133,938.69999
-140.266489,240,960.604669
-39.839608,134,973.205588
15.381673,145,986.102414
-2.669638,147,1000.457105
-14.55091,1000,1087.520951
72.129622,151,1102.126998
78.141252,312,1128.533588
21.816441,131,1141.66196
-84.460803,239,1161.755074
4.479236,1000,1250.125993
-28.164005,180,1266.795628
49.709734,146,1279.553332
49.697567,182,1295.732058
24.33903,97,1303.804771
16.67169,131,1315.544471
10.593127,165,1330.993847
32.362812,507,1376.5601
-26.974769,126,1388.210871
30.105364,671,1446.683506
-98.312864,162,1461.815454
4.611805,1000,1548.436266
-109.051386,1000,1634.405199
14.427925,119,1645.664886
-10.747424,1000,2078.429067
-20.165875,12,2079.688671
10.049004,1000,2166.750519
49.56092,152,2181.541105
-71.280564,91,2189.106264
-32.864122,1000,2276.765112
72.973089,151,2290.368239
7.553191,784,2358.631155
-26.204098,138,2372.444316
-42.281616,1000,2460.09035
-124.496008,1000,2547.835559
77.544398,168,2562.749815
-35.237767,595,2616.322211
6.046405,463,2656.708764
-5.904427,186,2673.311964
-81.565814,330,2702.652272
4.209419,263,2726.321566
-14.033346,166,2742.207379
-28.245883,146,2755.117101
-3.24382,1000,2842.079245
-10.780756,1000,2928.252924
-36.12937,1000,3365.747641
103.078406,160,3380.054614
-34.197156,1000,3469.268794
-98.734423,220,3489.549219
-112.99184,404,3524.519705
-98.949891,167,3538.043051
50.642919,699,3596.391532
14.077026,731,3661.432993
-47.142457,159,3674.588534
-28.96882,148,3689.084929
-36.361851,154,3702.750929
-29.003186,158,3716.43836
3.227666,1000,3804.965368
-3.117865,1000,3889.76303
-82.741062,288,3914.991271
-60.528144,144,3927.873804
109.903512,169,3943.025983
-2.054904,135,3955.179682
52.465829,785,4024.625105
-155.883671,146,4038.284161
-55.149567,136,4050.897513
10.577336,130,4062.577237
4.582337,128,4074.295217
73.476697,142,4086.968745
29.233073,1000,4222.729532
28.245076,135,4235.209928
-60.323501,132,4246.759491
-27.230436,154,4259.501181
19.639798,147,4274.117585
2.871689,148,4286.966187
32.486711,372,4320.769436
134.385438,922,4401.847494
73.405602,181,4418.451086
58.757333,151,4432.173803
-71.223337,180,4448.52936
134.899743,188,4466.034769
-0.112913,1000,4553.27469
83.303926,148,4566.372956
77.802743,168,4581.161135
70.977601,179,4596.313499
72.612495,517,4641.966522
56.19643,247,4663.175099
63.140605,180,4680.140804
44.943951,188,4697.238771
51.247836,173,4712.702209
76.734551,149,4725.674349
9.519423,151,4739.989646
22.413338,82,4747.461297
12.213091,129,4759.145917
24.065677,136,4771.536973
2.212524,128,4782.969897
31.163665,147,4796.282496
27.700121,133,4808.64707
-16.045419,132,4820.746939
19.082815,138,4834.392878
22.035534,158,4847.559287
-37.492057,140,4859.531854
89.601092,161,4874.396633
-46.934008,138,4886.143475
49.577649,442,4923.053288
-88.275341,134,4934.779474
-13.603379,403,4968.444789
-24.842584,137,4980.18454
9.075964,154,4994.371173
-5.657551,138,5006.468945
56.76981,145,5018.684655
28.975922,141,5030.602367
85.812738,163,5045.242434
75.821382,162,5058.653467
-148.511159,146,5072.518632
105.082595,156,5085.39859
34.428134,308,5232.710304
25.763386,1000,5320.927934
69.967832,149,5334.587945
18.496248,152,5347.618889
21.397476,159,5363.338305
-11.373276,151,5376.642553
-36.172752,127,5388.094109
-42.928154,1000,5477.027665
-16.602126,146,5489.970874
151.957195,239,5511.325513
66.941775,174,5526.130201
20.000264,173,5541.954462
64.136045,141,5555.078346
128.450257,252,5578.206125
52.507629,154,5592.887503
101.987967,178,5607.599288
17.646599,154,5621.705225
58.218538,164,5635.613165
27.755396,138,5649.372926
6.494443,143,5662.129723
10.080007,188,5679.389102
70.054454,176,5695.642899
6.138449,144,5708.717754
-48.982715,153,5722.390034
105.911267,166,5737.663005
169.903347,210,5755.974977
94.021864,140,5768.566056
71.812557,172,5784.174964
170.473966,244,5806.464827
23.900424,140,5818.773865
33.594494,251,5841.488261
-101.208626,141,5853.420642
99.907725,219,5873.032228
129.815182,168,5888.425673
46.704571,147,5901.767825
87.91012,150,5915.782662
62.99923,150,5928.98687
-28.534941,145,5942.254364
-14.5522,772,6010.848729
-24.910911,411,6047.385498
35.197698,156,6061.343204
23.105068,144,6075.095695
-33.736968,137,6086.752393
57.057759,149,6099.544944
17.274147,146,6112.327559
36.897749,210,6181.048282
12.656887,147,6193.389986
43.035889,149,6206.69067
97.858287,192,6224.025399
75.640534,819,6292.914555
155.349912,217,6310.915591
-34.77032,154,6325.137351
25.789551,141,6337.121455
105.739739,251,6358.983897
121.994435,210,6377.970831
13.364548,138,6390.711165
-41.745908,149,6405.315069
-49.779928,136,6416.872602
30.22909,176,6433.204355
-29.87538,157,6446.295961
-27.240223,161,6461.687058
1.710516,183,6477.380329
64.871998,257,6500.64898
47.269487,141,6514.628381
-4.078065,155,6528.403112
-43.212251,160,6543.037771
108.796857,986,6627.217773
-6.690464,170,6643.115235
6.924903,166,6657.603973
48.211043,154,6672.388759
20.902354,1000,6759.259043
46.427957,153,6774.012601
-23.448061,146,6786.904597
55.886168,150,6800.150458
-0.895497,170,6816.104575
-29.68893,1000,6902.674388
6.447031,88,6911.587947
-20.817078,156,6924.526518
-33.61692,1000,7012.020604
-90.036613,1000,7449.125633
-134.448935,259,7472.230709
-14.776034,158,7486.173162
38.989786,1000,7574.608396
6.862897,139,7587.173062
50.403686,879,7664.472616
17.750559,1000,7751.961243
26.074757,326,7781.151928
136.317895,703,7843.790798
-18.071777,134,7856.000439
81.171497,1000,7943.786747
26.285185,132,7955.700799
9.525198,136,7968.117603
-75.758166,126,7979.808154
40.273824,129,7991.647956
-20.217456,136,8003.907348
-16.928534,131,8016.082277
-14.685301,136,8028.527158
-24.369355,131,8041.042649
31.841337,129,8052.096722
-146.367706,126,8063.513522
-47.11458,133,8075.908105
11.530202,135,8087.637293
24.543452,127,8098.758401
