#{"t_start": 1625561448.325424, "env_id": "RoboSkateNumerical10Obs-v0"}
r,l,t
9.624354,1000,34.87745
-15.795347,1000,69.858157
-6.690177,1000,104.769005
-46.888032,212,112.281124
-1.864396,1000,145.824811
-154.960978,1000,180.30053
-90.362538,1000,215.371455
-31.385709,24,216.51722
-45.559664,1000,251.741561
-19.563107,1000,286.91359
-39.671208,1000,322.379076
-42.709909,877,403.970539
-79.203318,19,404.898129
-79.226226,19,405.767236
-78.568565,19,406.58618
-90.288299,16,408.82793
-77.867073,36,410.360753
-80.613382,31,413.079143
-87.201148,15,413.862177
-87.193705,15,414.609812
-87.18314,15,415.414148
-10.905395,31,418.265659
-12.191995,27,419.487884
-49.221295,295,437.123125
-145.836034,41,440.230968
-7.930703,34,441.345815
0.846477,92,447.178579
-139.647846,27,448.272093
-140.779905,27,449.303375
-131.941287,23,451.441616
-184.991508,20,452.308134
-176.070822,21,453.18269
-10.159348,53,456.43214
-11.211742,53,459.928392
-44.524322,49,463.368699
-158.148889,36,464.773492
-63.407847,161,474.813554
-152.742689,20,475.723456
-63.044116,143,483.39941
-16.797222,78,488.940044
-74.734023,15,489.717733
-75.155727,15,490.466482
-74.837888,15,491.202196
-131.359856,402,514.00908
111.417183,824,557.768654
-34.122896,1000,610.403513
-114.301789,688,648.829289
-35.34869,1000,702.060159
-26.207819,459,728.640557
-131.767751,649,763.840344
-33.607482,233,776.351136
-7.882391,1000,831.850848
-43.946333,145,840.194749
-19.413824,1000,895.392709
-0.236971,1000,950.838802
0.264758,227,1109.727821
-28.382863,119,1116.680329
-28.997855,258,1131.293846
-158.009826,609,1164.576416
-11.43042,449,1190.405444
-75.004111,1000,1242.148699
-0.637382,278,1259.210658
-37.743462,1000,1312.743269
-10.625963,1000,1366.882392
-91.298514,995,1421.370882
-5.958994,1000,1477.70916
-105.245275,399,1499.76263
-129.016567,199,1510.975288
0.928133,151,1520.837552
7.853351,1000,1575.093522
-31.190489,176,1585.094202
46.097654,76,1589.166237
-67.280961,189,1600.430558
-7.975438,90,1606.56771
-86.91382,84,1611.518675
-127.473424,244,1626.409902
-18.700192,105,1631.535801
-46.709177,58,1635.431036
0.335483,380,1672.592852
-90.475323,965,1725.35594
3.892537,1000,1779.853481
-31.970141,93,1784.452403
-78.714744,291,1801.597406
-68.568653,453,1827.394028
-74.92237,449,1852.24627
-23.456555,439,1876.654296
38.15061,1000,1930.926265
-47.212095,79,1936.125721
-44.435787,52,1939.362122
10.235308,1000,1993.02906
-8.520003,357,2012.933466
12.314213,72,2017.46669
-3.380202,373,2038.334635
-11.614663,256,2051.655624
-39.709985,70,2055.703338
-42.090578,32,2056.828652
-43.151321,33,2059.570408
-25.598042,45,2061.382434
-52.691946,80,2067.27865
-43.730768,87,2072.027501
-10.702165,1000,2125.846487
-15.071417,95,2130.137042
-2.295299,84,2135.673289
-12.310839,82,2140.09121
5.423245,1000,2192.711447
2.582654,432,2216.720761
-123.893657,91,2315.921363
-21.983083,79,2320.320087
-137.970652,120,2327.554288
-115.204992,686,2364.175312
-3.170512,128,2371.866985
41.976715,1000,2427.097303
8.114431,1000,2484.023395
